project_id,program_id,program_name,close_year,close_status,close_reason,primary_domain,authority_flags,sponsor_entity_id,executing_entity_id,transition_partner_entity_id,primary_vendor_id,primary_vendor_name,peak_rdte_funding_musd,total_duration_months,funding_gate_successes,contracting_gate_successes,test_gate_successes,ops_eval_score,gao_findings_count,gao_avg_severity,vendor_avg_technical_rating,vendor_avg_management_rating,max_cyber_findings,notes
HIST-ISR-001-A,PRG-ISR-001,Joint ISR Fusion System,2016,Transitioned,Early fusion prototype fielded to limited ISR cells,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-NAVY-NRL-ISR,AGY-DIA-TECH,VND-ACME,Acme Defense ISR,60,36,2,2,1,78,0,0.0,3.5,3.0,0,Set baseline for later ISR fusion spirals
HIST-ISR-001-B,PRG-ISR-001,Joint ISR Fusion System,2018,Transitioned,Capability integrated into two COCOM J2 shops,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-AFRL-RIO-ISR,AGY-NGA-GEOINT,VND-ACME,Acme Defense ISR,85,48,3,2,2,82,1,3.0,3.5,3.0,1,Supported early multi theater ISR pilots
HIST-ISR-001-C,PRG-ISR-001,Joint ISR Fusion System,2020,Canceled,Requirements drift and overlap with legacy all source tool,ISR,10USC,SRV-ARMY-PEO-IEW-S,LAB-AFRL-RIO-ISR,,VND-SECURENET,SecureNet Integrators,45,36,2,1,1,55,2,3.5,3.0,3.0,2,Cancelled at milestone review due to duplication
HIST-ISR-001-D,PRG-ISR-001,Joint ISR Fusion System,2022,OnHold,Budget rephasing under CR and joint data fabric review,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-NAVY-NRL-ISR,AGY-NGA-GEOINT,VND-GEODATA,GeoData Analytics Inc,60,30,2,1,1,68,3,4.0,4.0,4.0,0,Awaiting enterprise data architecture decision
HIST-ISR-001-E,PRG-ISR-001,Joint ISR Fusion System,2023,Transitioned,Core services adopted in new joint ISR cloud,ISR,10/50USC,AGY-ODNI-AR,LAB-MITRE-FFRDC,AGY-DIA-TECH,VND-PALANTIR,Palantir Technologies,95,54,3,2,2,86,3,4.0,4.0,3.5,1,Became part of common intelligence data layer
HIST-CYB-002-A,PRG-CYB-002,Cyber Defense Mesh,2017,OnHold,Competing priority for endpoint modernization effort,Cyber,10USC,SRV-AF-LCMC-ISR,LAB-NAVY-NRL-CYBER,,VND-SECURENET,SecureNet Integrators,30,20,1,1,0,52,1,2.5,2.5,2.0,1,Pilot stopped while endpoint strategy reset
HIST-CYB-002-B,PRG-CYB-002,Cyber Defense Mesh,2019,Transitioned,Mesh pilot adopted by USCYBERCOM J9 for limited ops,Cyber,50USC,AGY-NSA-RESEARCH,LAB-ARMY-ARL-AI,UNIT-CYBERCOM-J9,VND-CYBERCO,CyberCo Security,40,24,2,2,1,76,1,3.0,4.0,4.0,1,Pilot fed requirements for larger mesh effort
HIST-CYB-002-C,PRG-CYB-002,Cyber Defense Mesh,2021,Canceled,Integration cost with legacy tools and workforce constraints,Cyber,10USC,SRV-AF-LCMC-ISR,LAB-NAVY-NRL-CYBER,,VND-SECURENET,SecureNet Integrators,55,30,2,2,0,49,3,3.7,3.2,3.0,3,Terminated after poor OT and sustainment concerns
HIST-CYB-002-D,PRG-CYB-002,Cyber Defense Mesh,2022,Transitioned,Capabilities migrated into CISA and DoD stacks,Cyber,10/50USC,AGY-NSA-CYBEROPS,LAB-MITRE-FFRDC,AGY-DHS-CISA-CSD,VND-CLOUDNOVA,CloudNova Defense,70,42,3,2,2,81,4,4.0,4.0,4.0,1,Forms basis of current joint cyber platform
HIST-CYB-002-E,PRG-CYB-002,Cyber Defense Mesh,2024,OnHold,Awaiting zero trust reference architecture alignment,Cyber,10/50USC,OSD-RAND-R&E,LAB-NAVWAR-NIWC-PAC,AGY-NSA-CYBEROPS,VND-LEIDOS,Leidos,65,32,2,1,1,64,2,3.5,3.5,2.0,1,Pending guidance from enterprise cyber board
HIST-AI-003-A,PRG-AI-003,AI Target Recognition,2016,Transitioned,Deployed as decision aid tool in one AOR,AI,10USC,SRV-ARMY-AFC-ISR,LAB-ARMY-ARL-AI,AGY-NGA-GEOINT,VND-ALPHA,Alpha Analytics,25,18,2,1,1,73,0,0.0,3.0,3.0,0,Low risk assistive analytics only
HIST-AI-003-B,PRG-AI-003,AI Target Recognition,2018,OnHold,Ethical review and policy slower than algorithms,AI,10/50USC,AGY-CIA-DST,LAB-MITRE-FFRDC,AGY-ODNI-AR,VND-ANALYTICA,Analytica AI Labs,50,30,2,1,1,62,2,3.5,3.5,1.0,1,Held pending updated targeting and AI policy
HIST-AI-003-C,PRG-AI-003,AI Target Recognition,2020,Canceled,Adversarial robustness issues and high retrain cost,AI,50USC,AGY-NSA-QUANT,LAB-ARMY-ARL-AI,,VND-GEODATA,GeoData Analytics Inc,65,36,2,2,1,48,4,3.8,3.2,3.0,2,Lessons reused in robust AI research
HIST-AI-003-D,PRG-AI-003,AI Target Recognition,2021,Transitioned,Limited release as analyst copilot not auto targeter,AI,10USC,SRV-AF-LCMC-ISR,LAB-AFRL-RIO-ISR,AGY-DIA-TECH,VND-PALANTIR,Palantir Technologies,55,24,2,2,1,79,1,3.5,3.5,1.0,0,Became early AI copilot for imagery shops
HIST-AI-003-E,PRG-AI-003,AI Target Recognition,2023,OnHold,Enterprise cloud migration and data labeling backlog,AI,10/50USC,AGY-NGA-ALGORITHMS,LAB-NGA-RESEARCH,AGY-ODNI-AR,VND-BOOZALLEN,Booz Allen Hamilton,70,30,2,1,1,66,3,4.0,3.5,1.0,1,Paused until data foundation is complete
HIST-SAT-004-A,PRG-SAT-004,Responsive ISR CubeSat,2015,Transitioned,Single tech demo provided TTPs for smallsat ops,Space,10USC,SRV-AF-LCMC-ISR,LAB-AFRL-SPACE,LAB-AEROSPACE-FFRDC,VND-ORBIT,OrbitTech Systems,50,30,2,2,1,77,0,0.0,3.5,3.0,0,Informed early responsive space tactics
HIST-SAT-004-B,PRG-SAT-004,Responsive ISR CubeSat,2017,Transitioned,Prototype constellation moved into USSF RCO,Space,10USC,SRV-USSF-RCO,LAB-AEROSPACE-FFRDC,LAB-NRO-ASAT,VND-ORBIT,OrbitTech Systems,90,48,3,2,2,79,1,3.0,4.0,3.5,0,Enabled later proliferated LEO design work
HIST-SAT-004-C,PRG-SAT-004,Responsive ISR CubeSat,2019,Canceled,Launch failure and shift to larger resilient constellation,Space,10USC,SRV-NAVY-PEO-C4I,LAB-AFRL-SPACE,,VND-SPACEWORKS,SpaceWorks Integration,55,24,2,1,0,51,2,3.2,3.0,2.0,0,Cancelled after mishap and portfolio review
HIST-SAT-004-D,PRG-SAT-004,Responsive ISR CubeSat,2021,Transitioned,Tech transitioned into allied smallsat cooperation,Space,ALLIED,SRV-USSF-SPO-ISR,LAB-AEROSPACE-FFRDC,ALLY-UK-DSTL,VND-ORBIT,OrbitTech Systems,75,36,3,2,2,83,2,4.1,3.8,3.0,0,Supports combined smallsat experiments
HIST-SAT-004-E,PRG-SAT-004,Responsive ISR CubeSat,2023,OnHold,Awaiting space traffic management and deorbit guidance,Space,10USC,OSD-RAND-R&E,LAB-AEROSPACE-FFRDC,ALLY-AUS-DSTG,VND-ANDURIL,Anduril Industries,65,28,2,1,1,63,2,3.5,3.5,1.0,0,Paused for updated space governance policy
HIST-EW-005-A,PRG-EW-005,Adaptive EW Sensor,2016,OnHold,Test range access and threat model churn,EW,10USC,SRV-NAVY-PEO-C4I,LAB-NAVY-NRL-ISR,,VND-EWLAB,EW Lab Solutions,35,24,2,1,0,58,1,2.0,2.5,2.0,2,Slow progress while reprioritizing EW targets
HIST-EW-005-B,PRG-EW-005,Adaptive EW Sensor,2018,Transitioned,Deployed in limited fleet units for live evaluation,EW,10USC,AGY-DIA-TECH,LAB-NAVY-NRL-ISR,UNIT-NAVY-FLTEXP,VND-MITREFR,MITRE FFRDC EW,60,30,3,2,2,77,3,3.5,4.0,3.5,1,Became reference payload for later EW spirals
HIST-EW-005-C,PRG-EW-005,Adaptive EW Sensor,2020,Canceled,Integration complexity with host platforms too high,EW,10USC,SRV-ARMY-PEO-IEW-S,LAB-ARL-CBRN,,VND-EWLAB,EW Lab Solutions,50,28,2,2,1,52,4,2.5,2.5,3.0,3,Scope narrowed and effort closed
HIST-EW-005-D,PRG-EW-005,Adaptive EW Sensor,2021,Transitioned,Key modes integrated into joint EW library,EW,10USC,OSD-JPEO-CBRN,LAB-NAVWAR-NIWC-LANT,UNIT-SOF-J3-EXP,VND-RTX,RTX Raytheon,70,32,3,2,2,80,2,3.5,3.5,2.0,1,Waveforms reused across multiple platforms
HIST-EW-005-E,PRG-EW-005,Adaptive EW Sensor,2023,OnHold,Awaiting updated EMS superiority implementation plan,EW,10USC,OSD-RAND-R&E,LAB-NAVY-NRL-ISR,UNIT-JIATF-SOUTH,VND-CACI,CACI International,55,26,2,1,1,61,2,3.0,3.0,2.0,1,Held pending EMS campaign decisions
HIST-MAR-006-A,PRG-MAR-006,Maritime Autonomy Kernel,2017,Transitioned,Autonomy pilot accepted for SOUTHCOM experiments,Maritime,10USC,UNIT-NAVY-FLTEXP,LAB-ARMY-ARL-AI,UNIT-JIATF-SOUTH,VND-MARITEK,MariTek Marine,35,24,2,2,1,74,1,4.0,3.5,0.0,0,Used in counter smuggling experiments
HIST-MAR-006-B,PRG-MAR-006,Maritime Autonomy Kernel,2019,OnHold,Mariner acceptance and COLREG questions unresolved,Maritime,10USC,SRV-USMC-CDI-EXP,LAB-ARMY-ARL-AI,UNIT-SOF-J3-EXP,VND-AUTONOMIA,Autonomia Sea Systems,35,20,2,1,1,63,2,3.5,3.0,0.0,0,Awaiting legal and tactics guidance
HIST-MAR-006-C,PRG-MAR-006,Maritime Autonomy Kernel,2021,Canceled,Comms and power burden too high for small craft,Maritime,10USC,UNIT-JIATF-SOUTH,LAB-NAVY-NRL-ISR,,VND-AIRCO,AirCo Robotics,40,26,2,2,1,47,3,3.0,3.0,0.0,0,Closed in favor of lighter autonomy options
HIST-MAR-006-D,PRG-MAR-006,Maritime Autonomy Kernel,2022,Transitioned,Kernel reused in allied USV prototyping,Maritime,ALLIED,ALLY-UK-DSTL,LAB-ARMY-ARL-AI,ALLY-ISR-MAFAT,VND-ANDURIL,Anduril Industries,50,30,2,2,2,79,1,4.0,3.5,0.0,0,Enabled coalition experimentation on USV swarms
HIST-MAR-006-E,PRG-MAR-006,Maritime Autonomy Kernel,2024,OnHold,Environmental and COLREG simulation gaps identified,Maritime,10USC,OSD-RAND-R&E,LAB-NAVWAR-NIWC-PAC,UNIT-PACFLT-INTEL,VND-SAIC,SAIC,45,22,2,1,1,60,2,3.5,3.5,0.0,0,Pending improved autonomy simulation tools
HIST-GEO-007-A,PRG-GEO-007,NextGen GEOINT Exploitation,2016,Transitioned,Adopted as NGA tool for niche imagery type,GEOINT,50USC,AGY-NGA-GEOINT,LAB-NGA-RESEARCH,AGY-CIA-DST,VND-GEODATA,GeoData Analytics Inc,40,24,2,2,2,80,0,0.0,4.0,4.0,0,Became baseline for a small mission lane
HIST-GEO-007-B,PRG-GEO-007,NextGen GEOINT Exploitation,2018,OnHold,Cloud migration and data policy delays,GEOINT,50USC,AGY-NGA-ALGORITHMS,LAB-MITRE-FFRDC,AGY-ODNI-AR,VND-ANALYTICA,Analytica AI Labs,65,32,2,1,1,67,3,4.2,4.0,0.0,0,On hold while enterprise cloud matures
HIST-GEO-007-C,PRG-GEO-007,NextGen GEOINT Exploitation,2020,Canceled,Overtaken by commercial and allied GEOINT offerings,GEOINT,50USC,AGY-NGA-SHARPFOCUS,LAB-NGA-RESEARCH,,VND-ACME,Acme Defense ISR,40,20,1,1,0,53,4,3.0,3.0,1.0,1,Some code reused in new coalition effort
HIST-GEO-007-D,PRG-GEO-007,NextGen GEOINT Exploitation,2022,Transitioned,Functions merged into common analytic workbench,GEOINT,50USC,AGY-NGA-FUSION,LAB-NGA-RESEARCH,AGY-DIA-DGIF,VND-PALANTIR,Palantir Technologies,70,30,2,2,2,84,2,4.0,3.5,0.0,0,Now part of joint analytic environment
HIST-GEO-007-E,PRG-GEO-007,NextGen GEOINT Exploitation,2023,OnHold,Awaiting new multi domain targeting data standard,GEOINT,50USC,AGY-ODNI-AR,LAB-MITRE-FFRDC,AGY-NCTC-TECH,VND-LEIDOS,Leidos,55,26,2,1,1,65,2,3.5,3.5,0.0,0,Held while targeting standards are aligned
HIST-CBRN-008-A,PRG-CBRN-008,CBRN Sensor Integration,2017,Transitioned,Integrated into JPEO CBRN and several brigades,CBRN,10USC,OSD-JPEO-CBRN,LAB-ARL-CBRN,UNIT-ARMY-TRADOC,VND-BIODEF,BioDef Systems,50,30,2,2,2,78,1,2.8,3.0,2.0,2,Formed baseline CBRN awareness package
HIST-CBRN-008-B,PRG-CBRN-008,CBRN Sensor Integration,2019,Canceled,Logistics and sustainment burden too high,CBRN,10USC,UNIT-ARMY-TRADOC,LAB-ARL-CBRN,,VND-LOGITECH,LogiTech CBRN Solutions,35,22,2,1,1,50,3,3.0,3.0,1.0,1,Shifted to lighter sensor integration
HIST-CBRN-008-C,PRG-CBRN-008,CBRN Sensor Integration,2021,OnHold,Awaiting combined JPEO and DHS refinement,CBRN,10/50USC,OSD-JPEO-CBRN,LAB-DOE-NNSA,AGY-DHS-CBP-LABS,VND-MITREFR,MITRE FFRDC EW,45,24,2,1,1,61,2,3.5,4.0,0.0,0,Interagency governance still in work
HIST-CBRN-008-D,PRG-CBRN-008,CBRN Sensor Integration,2022,Transitioned,Modules adopted into NATO CBRN exercises,CBRN,ALLIED,ALLY-ISR-MAFAT,LAB-ARL-CBRN,ALLY-UK-DSTL,VND-BIODEF,BioDef Systems,55,28,2,2,2,79,1,3.0,3.0,1.0,1,Provided common architecture for allies
HIST-CBRN-008-E,PRG-CBRN-008,CBRN Sensor Integration,2024,OnHold,Data interoperability issues with legacy systems,CBRN,10USC,UNIT-NGB-J35,LAB-ARL-CBRN,AGY-DHS-HSI-OPS,VND-LEIDOS,Leidos,40,20,2,1,1,58,2,3.0,3.5,1.0,0,Held while interoperability profile is updated
HIST-UAV-009-A,PRG-UAV-009,Low-Cost Swarm UAV,2016,Transitioned,Adopted for AFSOC and Army swarm trials,UAS,10USC,SRV-ARMY-AFC-ISR,LAB-AFRL-RIO-ISR,UNIT-AFSOC-ISR,VND-AIRCO,AirCo Robotics,40,24,2,2,1,75,1,4.0,4.0,0.0,0,Demonstrator for current swarm doctrine
HIST-UAV-009-B,PRG-UAV-009,Low-Cost Swarm UAV,2018,Canceled,Spectrum and civil airspace concerns unresolved,UAS,10USC,UNIT-AF-ISRGRP-01,LAB-MITRE-FFRDC,,VND-ACME,Acme Defense ISR,38,20,2,1,0,52,3,3.2,3.0,1.0,1,Closed while spectrum policy updated
HIST-UAV-009-C,PRG-UAV-009,Low-Cost Swarm UAV,2020,OnHold,Awaiting updated FAA guidance and coalition doctrine,UAS,10USC,UNIT-SOF-J3-EXP,LAB-AFRL-RIO-ISR,,VND-AUTONOMIA,Autonomia Sea Systems,42,26,2,1,1,59,2,3.5,3.0,0.0,0,On hold for unmanned airspace policy
HIST-UAV-009-D,PRG-UAV-009,Low-Cost Swarm UAV,2022,Transitioned,Portions transitioned into training range targets,UAS,10USC,LAB-AF-96TW,LAB-AF-412TW,UNIT-JIATF-SOUTH,VND-KRATOS,Kratos Defense,45,22,2,2,2,72,1,3.5,3.5,0.0,0,Adopted widely as threat representative targets
HIST-UAV-009-E,PRG-UAV-009,Low-Cost Swarm UAV,2023,OnHold,Awaiting joint counter UAS and swarm strategy,UAS,10USC,OSD-RAND-R&E,LAB-AFRL-MUNITIONS,UNIT-PACFLT-INTEL,VND-ANDURIL,Anduril Industries,55,26,2,1,1,63,2,3.5,3.5,0.0,0,Held until counter UAS concept finalized
HIST-SIG-010-A,PRG-SIG-010,Signals Collection Modernization,2017,Transitioned,Deployed as incremental upgrade to NSA chain,SIGINT,50USC,AGY-NSA-RESEARCH,LAB-NRO-ASAT,AGY-DIA-TECH,VND-SIGSYNC,SigSync Technologies,65,36,3,2,2,82,1,3.5,3.5,1.0,1,Now part of baseline strategic collection
HIST-SIG-010-B,PRG-SIG-010,Signals Collection Modernization,2019,OnHold,Awaiting harmonization with coalition agreements,SIGINT,50USC,AGY-NSA-GEOSIG,LAB-MITRE-FFRDC,ALLY-UK-DSTL,VND-SECURENET,SecureNet Integrators,50,28,2,1,1,66,3,3.2,3.0,2.0,2,Pending allied sharing and releasability policy
HIST-SIG-010-C,PRG-SIG-010,Signals Collection Modernization,2021,Canceled,Replaced by broader multi INT architecture,SIGINT,10/50USC,AGY-ODNI-AR,LAB-MITRE-FFRDC,,VND-CYBERCO,CyberCo Security,55,24,2,1,1,54,4,3.8,3.5,1.0,1,Capabilities folded into joint architecture
HIST-SIG-010-D,PRG-SIG-010,Signals Collection Modernization,2022,Transitioned,Core features moved into new combined toolchain,SIGINT,50USC,AGY-NSA-SIGDEV,LAB-NSA-RESEARCH,AGY-NGA-FUSION,VND-LEIDOS,Leidos,70,30,3,2,2,81,2,3.5,3.5,1.0,1,Supports cross domain mission threads today
HIST-SIG-010-E,PRG-SIG-010,Signals Collection Modernization,2024,OnHold,Awaiting refactor to cloud native and zero trust,SIGINT,50USC,AGY-NSA-CYBEROPS,LAB-MITRE-FFRDC,AGY-CIA-OSE,VND-PERATON,Peraton,60,26,2,1,1,63,2,3.0,3.5,1.0,1,Paused until cloud reference stack is stable
