Project/Program,Agency/Service,Mission Focus,Authority Alignment (statute/policy),Period of Performance,Outcome (Fielded/Failed/Testing),Org that Executed (Lab/Unit/Prime),Team Size (approx.),Intelligence Discipline (if any),Organic Capabilities,Outsourced Capabilities,Primary Funding (Account/BA),TRL at Start → End (est.),Key Dependencies / Interfaces,Evidence/Source
Space Development Agency – Proliferated Warfighter Space Architecture (Tranche 0: Transport & Tracking),DoD / U.S. Space Force (SDA),Low-latency data transport; missile warning & tracking; Link-16 from space,Title 10 RDT&E (Appropriations Title IV); Adaptive acquisition/spiral development per DoD 5000 series (inferred),2020–2024 (initial launches 2023; additional launches 2023–2024),Demonstrated/operational demos; warfighter immersion activities; on-orbit Link-16 demo (Nov 2023),"SDA with multiple primes (SpaceX launch; L3Harris, SpaceX, York Space Systems, others)","100–300 (gov + industry, est.)",MISSILE WARNING/TRACKING (OPIR) – space-based ISR,Program management; integration; CONOPS & test; data transport architectures,Spacecraft buses; payloads; launch; ground segment components,"RDT&E, Space Force / Defense-Wide (Title IV)",TRL 5–6 → 7,Optical crosslinks; ground entry points; Link-16 gateways; MDA HBTS interfaces,"SDA releases (Apr 2, 2023; Sep 2, 2023), On-Orbit page, Tranche 0 fact sheet"
U.S. Navy Task Force 59 / Task Group 59.1 – Unmanned Systems & AI Fleet Integration (Digital Talon series),DoD / U.S. Navy (NAVCENT/5th Fleet),Maritime domain awareness; manned–unmanned teaming; autonomous ISR and surface presence,Title 10 O&M/RDT&E; Fleet experimentation under Navy authorities; rapid prototyping/experimentation constructs (inferred),2022–2025 (FOC announced 2023; TG 59.1 stood up 2024; exercises 2024),Operational experimentation; exercises; FOC achieved; novel unmanned launches demonstrated,NAVCENT TF-59 / TG-59.1; industry partners (Saildrone et al.),"50–200 (gov + industry, est.)",MARITIME ISR / MASINT (surface sensors); SIGINT possibilities (platform-dependent),"Fleet ops, C2 integration, CONOPS, TTPs",USV platforms; autonomy stacks; analytics pipelines,"RDT&E, Navy; O&M for fleet ops",TRL 6 → 7–8 (in operational context),C2 networks; autonomy software; sensor fusion; regional partner integration,"Navy.mil (Nov 25, 2024), DefenseScoop (Jan 10, 2023), CENTCOM article (Nov 2023)"
U.S. Army Mid-Range Capability (MRC) ‘Typhon’ – SM-6 / Tomahawk battery,DoD / U.S. Army (RCCTO → PEO Missiles & Space),Long-range precision fires; anti-ship/land-attack; Indo-Pacific deterrence,"Rapid prototyping (Middle Tier Acquisition, DoDI 5000.80 – inferred); Title 10 RDT&E/Procurement",2020–2025 (notional); deployment to Philippines Apr 2024; remaining into 2025,Deployed; ongoing training; mixed exercise live-fire decisions in 2025,1st Multi-Domain Task Force (MDTF); primes include Lockheed Martin et al.,"100–300 (gov + industry, est.)",TARGETING / GEOINT / SIGINT support (joint integration),Battery operations; integration; fires C2,Launcher systems; missiles; integration support,"RDT&E, Army; Procurement, Army",TRL 6 → 8,Joint intel feeds; Aegis/SM-6/TLAM supply chain; host-nation agreements,"CRS In Focus IF12135 (Apr 22, 2025); Reuters/AP coverage on Philippines deployment (2024–2025)"
Advanced Battle Management System (ABMS) / CJADC2 Enablers,Department of the Air Force (USAF/USSF),Data-centric C2; kill web; cloudONE; edgeONE; networking of sensors and shooters,Title 10 RDT&E; Software Acquisition Pathway (DoDI 5000.87) components; Major Capability Acquisition elements (inferred),2019–2025 (ongoing),Incremental fielding of apps and data fabrics; recurring on-ramp demos; continued integration in 2024–2025 exercises,PEO C3BM; Kessel Run/LevelUP/Platform One; multiple primes and SI partners,"200–600 (gov + industry, est.)",Multi-INT fusion (SIGINT/GEOINT/OPIR feeds),Software DevSecOps; cloud platform engineering; C2 mission engineering,SI integration; tactical data link gateways; cloud services scaling,"RDT&E, Air Force / Space Force; some Defense-Wide enabling lines",TRL 5–6 → 7–8 (software services),"JADC2, Link-16, SATCOM, SDA PWSA, Zero Trust architectures","USAF RDT&E Justification books FY24/25 (ABMS lines), public CJADC2 materials"
AGM‑183A ARRW (terminated),USAF,Air‑launched hypersonic boost‑glide,Title 10 RDT&E Rapid Prototyping; MTA (inferred),2018–2024,Terminated after final test flights; pivot emphasis to HACM,USAF/AFRL with Lockheed Martin; test with B‑52,100–300 (est.),Targeting support (multi‑INT),Test planning; range operations; systems engineering,Boost‑glide vehicle development; missile integration,"RDT&E, Air Force",TRL 4–5 → 6 (prototype flight),Test ranges; telemetry; safety envelopes,USAF statements Mar 2023–Mar 2024; AFA & media reporting
Hypersonic Attack Cruise Missile (HACM),USAF with DARPA heritage,Air‑breathing scramjet hypersonic cruise missile,Title 10 RDT&E; MTA (inferred),2020–2025 (ongoing),Development ongoing; Raytheon/NGC team selected,Raytheon as prime; Northrop Grumman scramjet; AFRL oversight,"200–400 (gov + industry, est.)",Targeting; ISR integration,Program management; CONOPS; test,Scramjet; air vehicle integration; manufacturing,"RDT&E, Air Force",TRL 4–5 → 6–7,Air‑platform integration; range access; telemetry,USAF budget docs; press on HACM award and ARRW pivot
B‑21 Raider Flight Test Campaign,USAF / AFMC,Long‑range stealth bomber modernization,Title 10 RDT&E; Major Capability Acquisition,2015–2025 (ongoing),Multiple test aircraft flying; second B‑21 delivered to Edwards AFB (Sep 2025),Air Force/Northrop Grumman; test community at Edwards AFB,1000+ (gov + industry),Strike enablers with ISR interfaces,Flight test; mission systems integration,Airframe & mission systems development,"RDT&E, Air Force + Procurement lines",TRL 6 → 7–8 (system),Nuclear certification; software maturation; logistics,USAF news releases 2024–2025
Next Generation Interceptor (NGI),MDA (Defense‑Wide),Homeland defense against ICBMs (GBI replacement),Title 10 RDT&E; MDA acquisition authorities,2021–2025 (downselect Apr 2024); CDR in FY2025,Downselect to Lockheed Martin; development continues; schedule risk noted,MDA; Lockheed Martin (prime),500+ (gov + industry),Missile warning/tracking data integration,System architecture; test planning,Interceptor design/manufacture; seekers; propulsion,"RDT&E, Defense‑Wide (MDA)",TRL 4–5 → 6,GBI silos; C2BMC; OPIR feeds,MDA/GAO reporting; Apr 2024 downselect announcements
Integrated Visual Augmentation System (IVAS) 1.2,U.S. Army,Soldier mixed‑reality HUD for situational awareness & training,Title 10 RDT&E; Middle Tier Acquisition (inferred),2019–2025,Testing and soldier assessments in 2024–2025; mixed performance across versions,PEO Soldier; Microsoft; C5ISR Center,200–400,Tactical ISR enablement,TTPs; integration with Nett Warrior; test,XR hardware/software; optics manufacturing,"RDT&E, Army (+ Procurement)",TRL 5 → 6–7,Radio nets; power; human systems integration,Army releases; CRS IVAS In Focus; press coverage 2023–2025
VICTUS NOX (Tactically Responsive Space),USSF / Space Systems Command (Space Safari),Rapid call‑up launch & space domain awareness payloads,Title 10 RDT&E; rapid acquisition authorities,2023–2024 (ops concluded Feb 2024),"Successful call‑up, launch, and on‑orbit mission; follow‑ons (Victus Sol/Haze)",SSC Space Safari; Firefly Aerospace; Millennium Space Systems,100–200,Space‑based SDA (ISR),Mission integration; responsive ops,Launcher; satellite bus/payload,"RDT&E, Space Force",TRL 6 → 7–8 (ops demo),Range availability; tasking chain; ground segment,USSF/SSC releases Feb 2024; industry partner releases
Project Overmatch (Fleet JADC2),U.S. Navy (NAVWAR),Software‑defined networks; kill web; allied interoperability,Title 10 RDT&E; software acquisition constructs,2021–2025 (ongoing),Milestones with Five Eyes PA (Feb 2025); RIMPAC 2024 large‑scale demos,NAVWAR/PMW teams; fleet experimenters; multiple primes,200–500,Multi‑INT fusion afloat; C2,Network architecture; software integration; DevSecOps,Waveforms; radios; cloud services; data products,"RDT&E, Navy",TRL 5–6 → 7–8,Allied networks; tactical data links; cross‑domain solutions,NAVWAR release Feb 2025; DefenseScoop Aug 2024
Replicator Tranche 1 (All‑Domain Attritable Autonomous Systems),OSD/DIU with Services,Mass deployment of attritable UxS and c‑UAS at scale,Title 10 RDT&E; rapid prototyping & procurement; DIU scaling funds (reconciliation),2024–2025 (Tranche 1),Funding secured; selections announced; fielding pathways under service sponsors,DIU + Service PMOs; multiple traditional and non‑traditional vendors,Varies; 100–400 (est.),ISR/counter‑ISR; autonomy & EW,Rapid contracting; integration & test; concept development,Platforms; autonomy stacks; sensor payloads,RDT&E Title IV (Defense‑Wide/Services) + supplemental scaling funds,TRL 6 → 7–8 (selected systems),Range access; C2 links; export/partner pathways,DIU Replicator page; DoD release May 2024; DefenseScoop May 2024
