Program_ID,Mapped_PE_Number,Program_Name,Agency,Service_Component,Sub_Agency,Budget_Activity,Mission_Focus,Intel_Discipline,Authority_Alignment,FY24_Actual_$K,FY25_Enacted_$K,FY26_Request_$K,Period_of_Performance,Size_of_Team,Lab_Unit_Or_Contractor,Organic_Capabilities,Outsourced_Capabilities,Current_Status,Network_Centrality_Score,Transition_Risk_Index,Tech_Maturity_Level,Mission_Criticality_Score,Cross_Domain_Dependency_Count,Supply_Chain_Risk_Level,Innovation_Leverage_Factor,Sourcing_Status,Notes
TBD_DTRA_ATD_MODEL_SIM,,Modeling and Simulation for CWMD,DoD,DTRA,Modeling & Simulation Directorate,BA3,Analysis_Tools,MultiINT,Title10;Title50,65000,68000,71000,FY24-FY26,15,DTRA M&S Center,"Model development; V&V","HPC hosting",Prototype,4,2,3,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"FX tools and modeling line."
TBD_DTRA_ATD_SENSORS,,CBRNE Detection and Sensing Systems,DoD,DTRA,Sensors Directorate,BA3,Sensors,CBRNE,Title10;Title50,75000,80000,85000,FY24-FY26,20,DTRA Sensor Labs,"Sensor design; algorithm dev","Detector manufacturing",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Detection and sensor prototypes."
TBD_DTRA_BA6_TEST_RANGES,,CWMD Test Beds and Ranges,DoD,DTRA,Test Directorate,BA6,Test_Ranges,CBRNE,Title10;Title50,60000,63000,66000,FY24-FY26,18,DTRA Test Facilities,"Test design; facility ops","Range modernization",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CWMD live-agent test infrastructure."
TBD_DTRA_PARTNER_CWMD,,Partner-Nation CWMD RDT&E,DoD,DTRA,International Directorate,BA3,Security_Cooperation,CBRNE,Title10;Title50,55000,58000,60000,FY24-FY26,10,DTRA Intl Programs,"Program management; training","Foreign labs; integration work",Prototype,3,3,3,4,3,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Partner CWMD development line."
TBD_CBDP_BA2_BASIC_SCIENCE,,Basic and Applied Chemical/Biological Defense Science,DoD,CBDP,Science Directorate,BA2,Foundational_Science,CBRNE,Title10;Title50,60000,63000,66000,FY24-FY26,25,CBDP Labs,"CB defense basic research","External performers",Research,4,2,2,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CBDP BA2 science template."
TBD_CBDP_BA2_AGENT_BEHAVIOR,,Threat Agent Behavior and Characterization,DoD,CBDP,Science Directorate,BA2,CBRNE,CBRNE,Title10;Title50,52000,55000,58000,FY24-FY26,18,CBDP Agent Behavior Lab,"Agent modeling; tests","Field trial support",Research,3,2,3,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CBDP agent behavior line."
TBD_CBDP_BA3_DIAGNOSTICS,,CB Defense Diagnostics and Early Warning,DoD,CBDP,Diagnostics Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,82000,86000,90000,FY24-FY26,20,CBDP Diagnostics Lab,"Assay design; sensor support","Commercial kit production",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Diagnostics development template."
TBD_CBDP_BA3_MCM,,Medical Countermeasure Technologies,DoD,CBDP,MCM Directorate,BA3,Biotechnology,CBRNE,Title10;Title50,88000,92000,96000,FY24-FY26,22,CBDP MCM Labs,"Pre-clinical; toxicity studies","Clinical trials",Prototype,4,3,3,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"MCM early-stage work."
TBD_CBDP_BA4_DETECTION_SYSTEMS,,CB Detection Systems Development,DoD,CBDP,Systems Directorate,BA4,Sensors,CBRNE,Title10;Title50,120000,130000,140000,FY24-FY26,28,CBDP Detection Systems,"System integration; field testing","Production & logistics",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Detection systems BA4 line."
TBD_CBDP_BA4_PROTECTION_SYSTEMS,,CB Protection Systems Development,DoD,CBDP,Protection Directorate,BA4,CBRNE,CBRNE,Title10;Title50,118000,125000,132000,FY24-FY26,24,CBDP Protection Directorate,"Requirements analysis; system design","Manufacture of PPE",Development,4,3,4,5,3,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Protection systems template."
TBD_CBDP_BA4_INFO_SYSTEMS,,CB Information Systems and Decision Support Tools,DoD,CBDP,Modeling Directorate,BA4,Analysis_Tools,CBRNE,Title10;Title50,90000,95000,100000,FY24-FY26,16,CBDP Modeling Labs,"Tool design; modeling","IT hosting; UI dev",Development,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"CB decision support tools."
TBD_CBDP_BA4_FIELD_MEDICAL,,Field Medical Response Systems,DoD,CBDP,Medical Directorate,BA4,Medical,CBRNE,Title10;Title50,95000,100000,108000,FY24-FY26,20,CBDP Medical Directorate,"Med system design; doctrinal input","Manufacturing; certification",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Field medical systems template."
TBD_CBDP_BA5_ADV_SYSTEMS_DEV,,Advanced CB Defense Systems Development,DoD,CBDP,Systems Integration Directorate,BA5,CBRNE,CBRNE,Title10;Title50,150000,160000,175000,FY24-FY26,30,CBDP Integration Office,"SoS integration; transition planning","Production and fielding support",Development,5,4,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"BA5 advanced system integration."
TBD_CBDP_BA6_TEST,,CB Defense Test & Evaluation Infrastructure,DoD,CBDP,Test Directorate,BA6,Test_Ranges,CBRNE,Title10;Title50,70000,74000,78000,FY24-FY26,18,CBDP Test Facilities,"Test planning; facility ops","Facility modernization",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"CBDP T&E live-agent support."
TBD_SCO_BA3_CROSSDOMAIN,,Cross-Domain Convergence Prototyping,DoD,SCO,Prototype Directorate,BA3,Cross_Domain,ISR,Title10,90000,95000,100000,FY24-FY26,25,SCO PMO,"Concept development; SoS integration","Platform modifications",Prototype,4,3,4,5,3,Medium,5,ESTIMATE_ONLY_R1_PENDING,"SCO multi-domain prototypes."
TBD_SCO_BA3_AUTONOMY,,Autonomous Platform Modernization,DoD,SCO,Autonomy Directorate,BA3,Autonomy_UxS,ISR,Title10,85000,90000,95000,FY24-FY26,20,SCO Autonomy,"Autonomy kits; software","Vehicle integration",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Autonomy retrofits."
TBD_SCO_BA3_EWCYBER,,Electronic Warfare and Cyber-Augmented Lethality,DoD,SCO,EW/Cyber Directorate,BA3,EW,Cyber,Title10,82000,87000,92000,FY24-FY26,18,SCO EW/T&E,"EW concept dev; tool design","Hardware payload builds",Prototype,4,3,4,5,3,High,4,ESTIMATE_ONLY_R1_PENDING,"EW/cyber overlays."
TBD_SCO_BA3_MARITIME,,Maritime and Undersea Enhancement Prototyping,DoD,SCO,Maritime Directorate,BA3,Maritime_Warfare,ISR,Title10,80000,84000,88000,FY24-FY26,18,SCO Maritime,"Concept dev; payload integration","Hull mods; undersea vehicle builds",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Maritime SCO prototypes."
TBD_SCO_BA4_AIR_RAPID,,Air Systems Rapid Adaptation,DoD,SCO,Air Integration Directorate,BA4,Air_Dominance,ISR,Title10,115000,125000,135000,FY24-FY26,22,SCO Air Programs,"Aircraft integration; loadout design","Aviation mods",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Air-launched effects and similar."
TBD_SCO_BA4_GROUND,,Ground Systems Transformation,DoD,SCO,Ground Systems Directorate,BA4,Land_Warfare,ISR,Title10,120000,130000,140000,FY24-FY26,24,SCO Ground Office,"Concepts; integration","Vehicle kit production",Development,4,3,5,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Ground SCO projects."
TBD_SCO_BA4_LRF,,Long-Range Fires Cross-Platform Development,DoD,SCO,Fires Directorate,BA4,Strike,ISR,Title10,130000,140000,150000,FY24-FY26,26,SCO Fires Directorate,"Concept dev; targeting","Launcher modifications",Development,5,4,5,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Cross-platform long-range fires."
TBD_SCO_BA4_DECEPTION,,Deception and Operational Mimicry Systems,DoD,SCO,Strategic Effects Directorate,BA4,Deception,ISR,Title10,80000,85000,90000,FY24-FY26,15,SCO Effects Office,"Concept dev; design","Payload production",Development,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Deception/mimicry lines."
TBD_SCO_BA5_SOSI,,Systems-of-Systems Integration,DoD,SCO,Integration Directorate,BA5,C2_JADC2,MultiINT,Title10,150000,165000,180000,FY24-FY26,30,SCO Integration Office,"SoS architecture; integration","Enterprise integration support",Development,5,4,6,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Joint SoS integration."
TBD_SCO_BA5_TRANSITION,,Joint Transition and Field Experimentation,DoD,SCO,Transition Directorate,BA5,Transition,MultiINT,Title10,120000,130000,140000,FY24-FY26,22,SCO Joint Transition,"Experiment design; handoff","Service fielding support",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"SCO-to-Service transition efforts."
TBD_DHA_BA2_BASIC_MEDSCI,,Military Medical Basic and Applied Research,DoD,DHA,Medical Research Directorate,BA2,Medical,Medical,Title10,60000,63000,66000,FY24-FY26,25,DHA MedSci Labs,"Basic med research","External academic labs",Research,3,2,2,4,1,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Generic DHA med research line."
TBD_DHA_BA2_TRAUMA,,Injury and Trauma Medical Research,DoD,DHA,Trauma Research Directorate,BA2,Medical,Medical,Title10,58000,60000,63000,FY24-FY26,20,DHA Trauma Labs,"Trauma experiments","Clinical trial sites",Research,3,2,3,5,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Trauma-focused RDT&E."
TBD_DHA_BA2_INFECTIOUS,,Infectious Disease and Biosurveillance S&T,DoD,DHA,Biosurveillance Directorate,BA2,Biotechnology,Medical,Title10,62000,64000,67000,FY24-FY26,18,DHA IDR Labs,"Disease modeling; assays","Field study partners",Research,3,2,3,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Infectious disease research."
TBD_DHA_BA3_DIAGNOSTICS,,Medical Diagnostics and Early Detection Technologies,DoD,DHA,Diagnostics Directorate,BA3,Medical,Medical,Title10,72000,75000,78000,FY24-FY26,20,DHA Diagnostics Labs,"Device design; test dev","Device manufacturing",Prototype,4,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Point-of-care diag prototypes."
TBD_DHA_BA3_FIELDCARE,,En Route Care and Expeditionary Medicine Prototyping,DoD,DHA,Field Care Directorate,BA3,Medical,Medical,Title10,68000,72000,75000,FY24-FY26,18,DHA Expeditionary Med,"Clinical protocols; kit design","Manufacturing",Prototype,4,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Field/exfil care prototypes."
TBD_DHA_BA3_NEUROTRAUMA,,Neurotrauma and Burn Injury Prototyping,DoD,DHA,Combat Casualty Directorate,BA3,Medical,Medical,Title10,64000,67000,70000,FY24-FY26,16,DHA Casualty Care Labs,"Neuro/burn treatment protos","Clinical trial support",Prototype,4,3,3,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Neurotrauma line."
TBD_DHA_BA4_MCM_DEV,,Medical Countermeasure Development,DoD,DHA,MCM Directorate,BA4,Biotechnology,Medical,Title10,90000,95000,100000,FY24-FY26,22,DHA MCM,"Translational work; dev","Regulatory & clinical trials",Development,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DHA MCM dev."
TBD_DHA_BA4_MEDDEV,,Enhanced Medical Devices Development,DoD,DHA,Medical Devices Directorate,BA4,Medical,Medical,Title10,88000,92000,96000,FY24-FY26,20,DHA Device Labs,"Device engineering","Device production",Development,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Medical devices dev."
TBD_DHA_BA5_MEDSYS,,Integrated Medical Systems Development,DoD,DHA,Integrated Systems Directorate,BA5,Medical,C2_JADC2,Title10,115000,125000,135000,FY24-FY26,24,DHA Integration Office,"SoS med system design","Enterprise integration",Development,5,4,5,5,3,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Integrated med systems."
TBD_DHA_BA5_FIELDTEST,,Medical Readiness and Field Experimentation,DoD,DHA,Readiness Directorate,BA5,Medical,Medical,Title10,87000,92000,96000,FY24-FY26,18,DHA Field Experiments,"Field trials; readiness","Support contracts",Development,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Med readiness/experiments."
TBD_DIU_CSOP,,Commercial Solutions Open Prototype Pipeline,DoD,DIU,DIU HQ,BA3,Commercial_Innovation,NA,Title10,70000,73000,76000,FY24-FY26,12,DIU Specialist Teams,"Tech scouting; vendor engagement","Prototype builds",Prototype,3,2,4,3,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DIU CSOs portfolio."
TBD_DIU_AI,,DIU Rapid AI/ML Integration,DoD,DIU,AI Portfolio,BA3,AI_ML,NA,Title10,65000,68000,70000,FY24-FY26,10,DIU AI Teams,"Model design; evaluation","Cloud hosting; integration",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"AI/ML prototypes for DoD."
TBD_DIU_ENERGY,,DIU Energy and Logistics Innovation,DoD,DIU,Energy Portfolio,BA3,Energy,NA,Title10,62000,65000,68000,FY24-FY26,8,DIU Energy Team,"Concept work; integration","Industrial partners",Prototype,3,2,4,3,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Energy/logistics projects."
TBD_DIU_AUTONOMY,,DIU Autonomy and Emerging Systems,DoD,DIU,Autonomy Portfolio,BA3,Autonomy_UxS,ISR,Title10,64000,67000,70000,FY24-FY26,9,DIU Autonomy Team,"Concept dev; evaluation","Prototype vehicle builds",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Autonomy-focused CSOs."
TBD_DIU_CYBER,,DIU Cyber and Digital Modernization,DoD,DIU,Cyber Portfolio,BA3,Cyber,NA,Title10,63000,66000,69000,FY24-FY26,9,DIU Cyber Team,"Concepts; evaluation","Implementation partners",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Cyber & enterprise IT CSOs."
TBD_FFRDC_MITRE_SYSENG,,MITRE Enterprise Systems Engineering,DoD,FFRDC,MITRE,BA6,Systems_Engineering,NA,Title10,80000,83000,86000,FY24-FY26,40,MITRE,"Enterprise SE; analysis","Tool dev; HPC hosting",Ongoing,4,2,5,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"MITRE FFRDC SE support."
TBD_FFRDC_MITRE_CYBER,,MITRE Cybersecurity and Zero Trust Support,DoD,FFRDC,MITRE,BA6,Cyber,NA,Title10,65000,70000,74000,FY24-FY26,20,MITRE Cyber,"Architecture; threat analysis","Tool dev; implementation",Ongoing,4,3,4,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Cyber & zero trust architecture."
TBD_UARC_APL_AWS,,APL Advanced Warfare Systems Engineering,DoD,UARC,Johns Hopkins APL,BA6,Systems_Engineering,ISR,Title10,90000,95000,100000,FY24-FY26,35,APL,"Mission analysis; SE","Prototype dev",Ongoing,5,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"JHU APL UARC warfare work."
TBD_UARC_APL_SPACE,,APL Space Systems and C3 Integration,DoD,UARC,Johns Hopkins APL,BA6,Space_Sensing,ISR,Title10,95000,100000,105000,FY24-FY26,30,APL Space Directorate,"Concept dev; space SE","Space hardware dev",Ongoing,5,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"APL space systems line."
TBD_FFRDC_LL_SENSORS,,MIT Lincoln Lab Air and Space Sensor Support,DoD,FFRDC,MIT Lincoln Laboratory,BA4,Sensors,ISR,Title10,90000,95000,100000,FY24-FY26,28,MIT LL,"Sensor prototyping; analysis","Prototype hardware manufacturing",Development,5,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"MIT LL sensor support."
TBD_FFRDC_LL_CYBER,,MIT Lincoln Lab Cyber and Spectrum Operations,DoD,FFRDC,MIT Lincoln Laboratory,BA4,EW,Cyber,Title10,88000,92000,96000,FY24-FY26,22,MIT LL,"EW/cyber R&D","Prototype payloads",Development,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Cyber/spectrum ops RDT&E."
TBD_FFRDC_AERO_SPACE,,Aerospace Corp Space Systems Engineering,DoD,FFRDC,Aerospace Corporation,BA6,Space_Sensing,ISR,Title10,95000,100000,105000,FY24-FY26,30,Aerospace Corp,"Mission analysis; SE","Prototype and study support",Ongoing,5,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Aerospace U.S. Space Force support."
TBD_UARC_MULTI,,Multi-Domain Research and Innovation,DoD,UARC,Generic UARC,BA2,Foundational_Science,NA,Title10,60000,63000,66000,FY24-FY26,20,UARC Labs,"Basic research; analysis","Small-scale prototypes",Research,3,2,2,4,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Generic UARC template."
NIP_CIA_001,CIA_201,Advanced HUMINT Collection Technologies,IC,CIA,DS&T,BA3,HUMINT,HUMINT,NIP,120000,130000,140000,FY24-FY26,40,CIA DS&T,"Sensor design; concealment engineering","Manufacturing; custom microelectronics",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"CIA HUMINT tech modernization."
NIP_CIA_002,CIA_202,Next-Gen Covert Communications,IC,CIA,DS&T,BA4,C2_JADC2,HUMINT,NIP,150000,160000,175000,FY24-FY26,38,CIA DS&T,"Secure comms integration","Commercial chipset vendors",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Secure field comms modernization."
NIP_CIA_003,CIA_203,AI-Augmented Targeting Analytics,IC,CIA,Directorate of Analysis,BA3,AI_ML,MultiINT,NIP,95000,105000,115000,FY24-FY26,28,CIA DI,"AI model design","Cloud compute",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Analytic modernization via AI."
NIP_CIA_004,CIA_204,Human Terrain Sensing R&D,IC,CIA,DS&T,BA2,HUMINT,HUMINT,NIP,45000,50000,52000,FY24-FY26,20,CIA DS&T,"Behavioral science research","Academic partnerships",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Foundational HUMINT S&T."
NIP_CIA_005,CIA_205,Clandestine Power Systems & Energy Harvesting,IC,CIA,DS&T,BA3,Energy,HUMINT,NIP,70000,76000,82000,FY24-FY26,22,CIA DS&T,"Prototype engineering","Fabrication shops",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Miniature energy systems."
NIP_NSA_001,NSA_301,Next-Gen Cryptanalytic Platform RDT&E,IC,NSA,Research Directorate,BA4,Cyber,SIGINT,NIP,250000,265000,280000,FY24-FY26,80,NSA R&D,"Algorithm development","HPC systems",Development,5,4,5,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Core SIGINT modernization."
NIP_NSA_002,NSA_302,Zero-Trust Communications R&D,IC,NSA,Cybersecurity Directorate,BA3,Cyber,SIGINT,NIP,140000,150000,160000,FY24-FY26,45,NSA Cyber,"Crypto design","Cloud integration",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Secure comms at IC scale."
NIP_NSA_003,NSA_303,Signals Environment Modeling Tools,IC,NSA,Signals Intelligence Directorate,BA2,Analysis_Tools,SIGINT,NIP,55000,58000,61000,FY24-FY26,25,NSA Modeling,"Signals science","HPC access",Research,3,2,2,4,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Basic SIGINT modeling."
NIP_NSA_004,NSA_304,Quantum-Resistant Encryption Dev,IC,NSA,Cybersecurity Directorate,BA3,Cyber,SIGINT,NIP,180000,190000,200000,FY24-FY26,50,NSA Labs,"Crypto R&D","Vendor chips",Prototype,5,4,4,5,3,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Quantum-era crypto."
NIP_NSA_005,NSA_305,SIGINT Edge Compute Nodes,IC,NSA,Signals Directorate,BA4,ISR,SIGINT,NIP,210000,225000,240000,FY24-FY26,62,NSA R&D,"System design","Fabrication",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Forward-deployed SIGINT nodes."
NIP_NGA_001,NGA_401,Next-Gen GEOINT Analytics,IC,NGA,Inno Directorate,BA4,GEOINT,GEOINT,NIP,170000,180000,190000,FY24-FY26,55,NGA Inno,"Imagery analysis","Cloud compute",Development,4,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Automated GEOINT exploitation."
NIP_NGA_002,NGA_402,AI-Based Target Recognition,IC,NGA,AI Directorate,BA3,AI_ML,GEOINT,NIP,130000,140000,155000,FY24-FY26,32,NGA AI,"AI model training","GPU clusters",Prototype,4,3,4,5,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"ML-based geospatial detection."
NIP_NGA_003,NGA_403,Space-Based GEOINT Collection R&D,IC,NGA,Source Directorate,BA4,Space_Sensing,GEOINT,NIP,230000,240000,260000,FY24-FY26,60,NGA Source,"Sensor design","Prime contractors",Development,5,4,5,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Space GEOINT capability."
NIP_NGA_004,NGA_404,Geospatial Data Fusion Algorithms,IC,NGA,Exploit Directorate,BA3,ISR,GEOINT,NIP,100000,115000,130000,FY24-FY26,28,NGA Exploit,"Algorithm dev","Cloud/HPC",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Multi-source geospatial fusion."
NIP_NGA_005,NGA_405,Advanced GEOINT Basic Science,IC,NGA,Research Directorate,BA2,Foundational_Science,GEOINT,NIP,45000,48000,52000,FY24-FY26,18,NGA Research,"Basic imagery science","University partnerships",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Low TRL; long time horizon."
NIP_NRO_001,NRO_501,Space ISR Sensor Payload RDT&E,IC,NRO,NRO,BA4,Space_Sensing,ISR,NIP,300000,320000,350000,FY24-FY26,75,NRO Labs,"Payload design","Prime integrators",Development,5,4,5,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"High TRL but expensive transition."
NIP_NRO_002,NRO_502,Orbital Mission Planning Tools,IC,NRO,NRO,BA3,Analysis_Tools,ISR,NIP,110000,120000,135000,FY24-FY26,35,NRO SW Teams,"Mission modeling","Cloud compute",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"High-centrality mission tools."
NIP_NRO_003,NRO_503,Next-Gen On-Orbit Data Compression,IC,NRO,NRO,BA3,AI_ML,ISR,NIP,95000,105000,115000,FY24-FY26,28,NRO Labs,"Model compression","Compute vendors",Prototype,4,3,4,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Bandwidth-optimized ISR tech."
