Program_ID,Mapped_PE_Number,Program_Name,Agency,Service_Component,Sub_Agency,Budget_Activity,Mission_Focus,Intel_Discipline,Authority_Alignment,FY24_Actual_$K,FY25_Enacted_$K,FY26_Request_$K,Period_of_Performance,Size_of_Team,Lab_Unit_Or_Contractor,Organic_Capabilities,Outsourced_Capabilities,Current_Status,Network_Centrality_Score,Transition_Risk_Index,Tech_Maturity_Level,Mission_Criticality_Score,Cross_Domain_Dependency_Count,Supply_Chain_Risk_Level,Innovation_Leverage_Factor,Sourcing_Status,Notes
NIP_NRO_004,NRO_504,Satellite Control System Modernization,IC,NRO,NRO,BA5,C2_JADC2,ISR,NIP,200000,215000,230000,FY24-FY26,60,NRO Ground Segment,"System integration","Prime contractors",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Late-stage transition candidate."
NIP_NRO_005,NRO_505,Space Domain Awareness R&D,IC,NRO,NRO,BA3,Space_Sensing,ISR,NIP,150000,165000,180000,FY24-FY26,42,NRO,"Sensor R&D","Space vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Critical SDA initiatives."
MIP_DIA_001,DIA_301,Defense HUMINT Tools R&D,DoD,DIA,Directorate of Science & Tech,BA3,HUMINT,HUMINT,MIP,85000,90000,95000,FY24-FY26,30,DIA DST,"Engineering","Fabrication",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DIA HUMINT modernization."
MIP_DIA_002,DIA_302,AI-Assisted All-Source Tools,DoD,DIA,Directorate for Analysis,BA4,AI_ML,MultiINT,MIP,115000,130000,145000,FY24-FY26,38,DIA Analysis,"Analytic modeling","Cloud vendors",Development,5,3,6,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Analysis modernization."
MIP_DIA_003,DIA_303,Defense MASINT S&T,DoD,DIA,Defense MASINT Office,BA2,MASINT,MASINT,MIP,45000,50000,54000,FY24-FY26,22,DIA MASINT,"Basic MASINT research","University labs",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Foundational MASINT."
MIP_DIA_004,DIA_304,Counterintelligence Tech RDT&E,DoD,DIA,CI Directorate,BA3,Deception,HUMINT,MIP,70000,76000,82000,FY24-FY26,26,DIA CI,"CI tool design","Integration",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Counterintelligence modernization."
MIP_DIA_005,DIA_305,Defense Global Data Platform,DoD,DIA,CIO/IT Directorate,BA5,C2_JADC2,MultiINT,MIP,160000,175000,190000,FY24-FY26,50,DIA CIO,"Platform design","Cloud integrators",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Late-stage transition risk."
MIP_USAF_INTEL_001,USAF_601,Distributed SIGINT Node RDT&E,DoD,Air Force,AFISRA,BA3,SIGINT,SIGINT,MIP,95000,105000,115000,FY24-FY26,32,AFISRA,"SIGINT integration","Hardware vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"AF ISR modernization."
MIP_USAF_INTEL_002,USAF_602,ISR Processing Modernization,DoD,Air Force,AFISRA,BA4,ISR,ISR,MIP,130000,140000,150000,FY24-FY26,48,AFISRA,"Integration","Cloud vendors",Development,5,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Late-stage ISR transition."
MIP_USAF_INTEL_003,USAF_603,AF Target Development Tools,DoD,Air Force,AFISRA,BA3,Analysis_Tools,MultiINT,MIP,75000,80000,85000,FY24-FY26,28,AFISRA,"Analytic modeling","HPC integrators",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Target system modernization."
MIP_USAF_INTEL_004,USAF_604,Signals Geolocation Enhancements,DoD,Air Force,AFISRA,BA4,ISR,SIGINT,MIP,100000,110000,120000,FY24-FY26,45,AFISRA,"Algorithm dev","Platform integration",Development,5,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Geolocation improvements."
MIP_USAF_INTEL_005,USAF_605,ISR Cloud Migration Engineering,DoD,Air Force,AFISRA,BA5,C2_JADC2,ISR,MIP,145000,160000,175000,FY24-FY26,50,AFISRA,"Cloud architecture","Integrators",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Late-stage ISR cloud migration."
MIP_USARMY_INTEL_001,USA_701,Army Tactical SIGINT Prototypes,DoD,Army,INSCOM,BA3,SIGINT,SIGINT,MIP,70000,76000,82000,FY24-FY26,26,INSCOM,"SIGINT systems","Vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Army SIGINT kit."
MIP_USARMY_INTEL_002,USA_702,Ground ISR Modernization,DoD,Army,INSCOM,BA4,ISR,ISR,MIP,110000,125000,140000,FY24-FY26,42,INSCOM,"Integration","OEMs",Development,5,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Army ISR upgrade."
MIP_USARMY_INTEL_003,USA_703,MASINT Counter-Artillery Tools,DoD,Army,INSCOM,BA3,MASINT,MASINT,MIP,65000,70000,75000,FY24-FY26,24,INSCOM,"MASINT dev","Manufacturers",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Counter-battery MASINT."
MIP_USARMY_INTEL_004,USA_704,Army All-Source Fusion Enhancements,DoD,Army,INSCOM,BA5,MultiINT,MultiINT,MIP,135000,150000,165000,FY24-FY26,54,INSCOM,"System design","Cloud integrators",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Near-transition data systems."
MIP_USARMY_INTEL_005,USA_705,Signals Collection Basic Research,DoD,Army,INSCOM,BA2,SIGINT,SIGINT,MIP,40000,43000,45000,FY24-FY26,18,INSCOM,"Basic SIGINT","Labs",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Low TRL."
MIP_USNAVY_INTEL_001,USN_801,Maritime ISR Node Prototypes,DoD,Navy,ONI,BA3,Maritime_Warfare,ISR,MIP,90000,95000,100000,FY24-FY26,30,ONI,"Node design","Fabricators",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Maritime ISR prototypes."
MIP_USNAVY_INTEL_002,USN_802,Shipboard SIGINT Modernization,DoD,Navy,ONI,BA4,SIGINT,SIGINT,MIP,140000,150000,165000,FY24-FY26,50,ONI,"Integration","Prime",Development,5,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Navy collection systems."
MIP_USNAVY_INTEL_003,USN_803,Undersea MASINT Tools,DoD,Navy,ONI,BA3,MASINT,MASINT,MIP,65000,70000,75000,FY24-FY26,24,ONI,"MASINT modeling","Vendors",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Undersea MASINT niche."
MIP_USNAVY_INTEL_004,USN_804,Naval All-Source Fusion,DoD,Navy,ONI,BA5,MultiINT,MultiINT,MIP,125000,135000,150000,FY24-FY26,40,ONI,"Fusion arch","Integrators",Development,5,2,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Fleet intel modernization."
MIP_USNAVY_INTEL_005,USN_805,Naval SIGINT Basic Research,DoD,Navy,ONI,BA2,SIGINT,SIGINT,MIP,42000,45000,48000,FY24-FY26,18,ONI Labs,"Signals research","Labs",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Low TRL Navy SIGINT."
DCSA_MIP_001,DCSA_101,Insider Threat Detection R&D,DoD,DCSA,Security Directorate,BA3,Analysis_Tools,HUMINT,MIP,55000,60000,64000,FY24-FY26,25,DCSA,"Behavior modeling","Cloud analytics",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Security modernization."
DCSA_MIP_002,DCSA_102,Cyber Vetting Tools RDT&E,DoD,DCSA,Cyber Directorate,BA4,Cyber,HUMINT,MIP,85000,90000,95000,FY24-FY26,32,DCSA,"Cyber assessment tools","IT services",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"IC vetting modernization."
OSINT_IC_001,OSINT_201,Automated Open-Source Collection Tools,IC,Open-Source,OSIC,BA3,OSINT,MultiINT,NIP,55000,60000,65000,FY24-FY26,20,OSIC,"Data ingestion","Cloud compute",Prototype,4,2,4,3,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"OSINT modernization."
OSINT_IC_002,OSINT_202,OSINT Data Verification R&D,IC,Open-Source,OSIC,BA2,OSINT,MultiINT,NIP,30000,33000,35000,FY24-FY26,15,OSIC,"Method research","Academic partners",Research,3,2,2,2,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Verification science."
JOINT_JADC2_001,JS_901,Joint All-Domain C2 Testbed,DoD,Joint Staff,J6,BA4,C2_JADC2,MultiINT,Title10,185000,200000,215000,FY24-FY26,52,Joint JADC2 Lab,"Architecture design; integration planning","Enterprise IT integrators",Development,5,4,6,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Joint reference testbed for JADC2 concepts."
JOINT_HYP_001,JS_902,Joint Hypersonics Integration Cell,DoD,Joint Staff,J8,BA5,Hypersonics,ISR,Title10,210000,225000,240000,FY24-FY26,48,Joint Hypersonics Cell,"Mission analysis; CONOPS","Prime integrators",Development,5,4,6,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Coordinates service hypersonics transitions."
JOINT_CBRN_001,JS_903,Joint CBRN Decision Support Suite,DoD,Joint Staff,J3,BA4,CBRNE,CBRNE,Title10;Title50,90000,95000,100000,FY24-FY26,30,Joint CBRN Center,"Tool design; modeling","IT integrators",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Supports joint CBRN planning and ops."
JOINT_CYBER_001,JS_904,Joint Cyber Effects Modeling Lab,DoD,Joint Staff,J7,BA3,Cyber,Cyber,Title10,75000,80000,85000,FY24-FY26,26,Joint Cyber Lab,"Scenario design; model development","Cloud compute",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Supports cyber OPLAN development."
JOINT_INTEL_001,JS_905,Joint Multi-INT Experimentation,DoD,Joint Staff,J2,BA3,ISR,MultiINT,Title10;Title50,82000,87000,92000,FY24-FY26,28,Joint Intel Lab,"Multi-INT experiment design","IC labs",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Prototypes joint intel TTP and tools."
USSF_BA2_001,USSF_201,Space Sensor Physics Research,DoD,USSF,STARCOM,BA2,Space_Sensing,ISR,Title10,65000,68000,71000,FY24-FY26,22,USSF Lab,"Space sensing science","Academic consortia",Research,3,2,2,4,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Low-TRL space sensing for Space Force."
USSF_BA3_001,USSF_202,On-Orbit Servicing Prototypes,DoD,USSF,SSC,BA3,Space_Sensing,ISR,Title10,120000,130000,140000,FY24-FY26,34,SSC Prototyping,"Concept design; guidance","Spacecraft vendors",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"On-orbit servicing as high-visibility transition candidate."
USSF_BA4_001,USSF_203,Space Battle Management Dev,DoD,USSF,SSC,BA4,C2_JADC2,ISR,Title10,190000,205000,220000,FY24-FY26,46,SSC BMC2,"System engineering; integration","Prime integrators",Development,5,4,6,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Core battle management capability for ABM stress tests."
USSF_BA5_001,USSF_204,Space C2 Enterprise Fielding Prep,DoD,USSF,SSC,BA5,C2_JADC2,ISR,Title10,160000,175000,190000,FY24-FY26,40,SSC C2 Enterprise,"Fielding planning; test","Deployment support vendors",Development,5,3,7,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Late-stage RDT&E→O&M transition line."
USSF_BA6_001,USSF_205,Space Test Range Modernization,DoD,USSF,STARCOM,BA6,Test_Ranges,ISR,Title10,90000,95000,100000,FY24-FY26,28,Space Test Center,"Range ops; instrumentation","Construction; range vendors",Ongoing,3,2,7,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Enables multiple space transitions."
DOE_NNSA_001,NNSA_101,Nuclear Detection RDT&E,DOE,NNSA,Nuclear Security Enterprise,BA3,CBRNE,MASINT,Dual-Use,110000,120000,130000,FY24-FY26,36,NNSA Lab,"Detector design; modeling","OEM hardware",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Dual-use nuclear detection technology for DoD/IC users."
DOE_NNSA_002,NNSA_102,High-Energy Radiography Science,DOE,NNSA,Nuclear Security Enterprise,BA2,Foundational_Science,MASINT,Dual-Use,55000,58000,61000,FY24-FY26,20,NNSA Lab,"Physics research","University partners",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Feeds future MASINT/CBRNE innovations."
DOE_NNSA_003,NNSA_103,Space-Nuclear Power Concepts,DOE,NNSA,Advanced Power Office,BA3,Energy,ISR,Dual-Use,85000,90000,95000,FY24-FY26,26,NNSA Engineering,"Concept design","Aerospace vendors",Prototype,4,3,3,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Potential dual-use SDI/space ISR support."
DOE_NNSA_004,NNSA_104,Material Science for Survivable Sensors,DOE,NNSA,Nuclear Security Enterprise,BA2,Foundational_Science,MASINT,Dual-Use,60000,64000,67000,FY24-FY26,22,NNSA Lab,"Materials research","Specialty fabs",Research,3,2,2,4,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Feeds hardened ISR sensors."
DOE_NNSA_005,NNSA_105,High-Fidelity Nuclear Effects Modeling,DOE,NNSA,Nuclear Security Enterprise,BA3,Analysis_Tools,MASINT,Dual-Use,90000,95000,100000,FY24-FY26,28,NNSA Modeling Center,"Code dev; validation","HPC resources",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Modeling tools used by DoD/IC planners."
DHS_ST_001,DHS_201,Cyber-Physical Critical Infrastructure Lab,DHS,DHS S&T,Cyber-Physical Systems,BA3,Cyber,NA,Dual-Use,65000,70000,75000,FY24-FY26,24,DHS S&T Lab,"System modeling; red-teaming","Integration vendors",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Outputs transition into both DHS and DoD defensive programs."
DHS_ST_002,DHS_202,Border Surveillance Sensor RDT&E,DHS,DHS S&T,Border Security,BA3,Sensors,ISR,Dual-Use,80000,86000,90000,FY24-FY26,26,DHS S&T,"Sensor integration","OEM platforms",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Border ISR prototypes with DoD applicability."
DHS_ST_003,DHS_203,First Responder Comms Modernization,DHS,DHS S&T,First Responder,BA4,C2_JADC2,NA,Dual-Use,90000,95000,100000,FY24-FY26,30,DHS S&T,"Architecture design","Radio vendors",Development,4,3,5,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Relevant to domestic support missions."
DHS_ST_004,DHS_204,CBRNE Environmental Sensing,DHS,DHS S&T,CBRNE Office,BA3,CBRNE,CBRNE,Dual-Use,70000,74000,78000,FY24-FY26,22,DHS CBRNE Lab,"Assay & sensor design","Equipment vendors",Prototype,4,3,3,4,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"CBRNE sensing for homeland & defense."
DHS_ST_005,DHS_205,AI-Based Threat Detection in Travel Streams,DHS,DHS S&T,Screening Office,BA3,AI_ML,MultiINT,Dual-Use,75000,78000,82000,FY24-FY26,24,DHS Analytics,"AI modeling","Cloud vendors",Prototype,4,3,4,3,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Dual-use analytic modernization."
DARPA_TRANS_001,DARPA_T01,Service Transition Enablement Cell,DoD,DARPA,STO,BA5,Transition,MultiINT,Title10,65000,70000,75000,FY24-FY26,18,DARPA STO,"Transition planning","Service labs",Development,4,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"DARPA internal cell focused on mature handoff to Services."
DARPA_TRANS_002,DARPA_T02,Capability Portfolio Wargaming Tools,DoD,DARPA,TTO,BA3,Analysis_Tools,MultiINT,Title10,90000,95000,100000,FY24-FY26,26,DARPA TTO,"Tool design; scenario dev","Software vendors",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Informs which prototypes to advance."
DARPA_TRANS_003,DARPA_T03,Mission Engineering Integration Sandbox,DoD,DARPA,DSO,BA4,Cross_Domain,MultiINT,Title10,125000,135000,145000,FY24-FY26,34,DARPA DSO,"Mission engineering; integration","Service/COCOM partners",Development,5,4,5,5,4,High,5,ESTIMATE_ONLY_R1_PENDING,"Crucial ABM node; high centrality."
DARPA_TRANS_004,DARPA_T04,Operational Demo Campaigns,DoD,DARPA,Field Ops Office,BA5,Prototype,MultiINT,Title10,95000,100000,110000,FY24-FY26,30,DARPA Field Team,"Demo planning","Ranges; test contractors",Development,4,3,6,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Key step before Service adoption."
DARPA_TRANS_005,DARPA_T05,Transition Metrics & Evidence Lab,DoD,DARPA,Strategic Tech Office,BA6,Analysis_Tools,NA,Title10,40000,45000,48000,FY24-FY26,16,DARPA Strategic,"Data science","Contract analytics",Ongoing,3,2,5,3,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Internal analytics on transition success; useful ABM tuning anchor."
OUSD_ME_001,OUSD_ME01,Mission Engineering Campaigns,DoD,OUSD(R&E),Mission Engineering,BA4,Cross_Domain,MultiINT,Title10,115000,125000,135000,FY24-FY26,32,OUSD(R&E) ME Cell,"Mission analysis; SoS design","FFRDC/UARC support",Development,5,4,5,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"SoS-level integration node for ABM."
OUSD_ME_002,OUSD_ME02,Portfolio-Level Digital Twins,DoD,OUSD(R&E),Mission Engineering,BA3,Analysis_Tools,NA,Title10,85000,90000,95000,FY24-FY26,24,OUSD(R&E) ME Cell,"Model design","Tool developers",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Drives simulation of RDT&E portfolios."
OUSD_ME_003,OUSD_ME03,Integrated Campaign Experiment Design,DoD,OUSD(R&E),Mission Engineering,BA3,Cross_Domain,MultiINT,Title10,75000,80000,84000,FY24-FY26,22,OUSD(R&E) ME Cell,"Experiment design","Range support",Prototype,4,3,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Feeds live experimentation and analysis."
OUSD_ME_004,OUSD_ME04,Campaign Data Infrastructure,DoD,OUSD(R&E),Mission Engineering,BA4,C2_JADC2,NA,Title10,95000,100000,110000,FY24-FY26,26,OUSD(R&E) ME Cell,"Data architecture","Cloud integrators",Development,4,3,5,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Enterprise-level data spine."
OUSD_ME_005,OUSD_ME05,Mission Thread Library & Taxonomy,DoD,OUSD(R&E),Mission Engineering,BA2,Foundational_Science,NA,Title10,35000,38000,40000,FY24-FY26,14,OUSD(R&E) ME Cell,"Mission analysis","Consultant support",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Foundational mission taxonomy; helps ABM structuring."
FFRDC_RAND_001,RAND_101,RAND Operational Gaming for RDT&E,DoD,FFRDC,RAND,BA6,Analysis_Tools,NA,Title10,45000,48000,50000,FY24-FY26,18,RAND,"Study design; wargaming","Tool vendors",Ongoing,3,2,4,3,2,Low,3,ESTIMATE_ONLY_R1_PENDING,"Supports evaluation of RDT&E alternatives."
FFRDC_RAND_002,RAND_102,RAND Force Planning Models,DoD,FFRDC,RAND,BA6,Analysis_Tools,NA,Title10,50000,52000,54000,FY24-FY26,20,RAND,"Model dev","HPC hosts",Ongoing,3,2,5,4,2,Low,3,ESTIMATE_ONLY_R1_PENDING,"Strategic-level modeling; informs prioritization."
FFRDC_SEI_001,SEI_201,Software Engineering Transition Patterns,DoD,FFRDC,Carnegie Mellon SEI,BA6,Analysis_Tools,NA,Title10,60000,63000,65000,FY24-FY26,22,SEI,"Software engineering research","Industry partners",Ongoing,4,2,4,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"SE best practices for transitions."
FFRDC_SEI_002,SEI_202,DevSecOps Reference Architectures,DoD,FFRDC,Carnegie Mellon SEI,BA6,Cyber,NA,Title10,55000,58000,60000,FY24-FY26,20,SEI,"Architecture research","Cloud providers",Ongoing,4,2,4,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Patterns for secure software deployment."
FFRDC_IDA_001,IDA_301,IDA Portfolio Analysis for RDT&E,DoD,FFRDC,IDA,BA6,Analysis_Tools,NA,Title10,48000,50000,52000,FY24-FY26,18,IDA,"Quant analysis","Tool dev",Ongoing,3,2,4,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Supports senior decision makers on RDT&E mix."
COCOM_EUCOM_001,EUCOM_101,Theater ISR Integration Experiments,DoD,USEUCOM,J2/J3,BA4,ISR,MultiINT,Title10,85000,90000,96000,FY24-FY26,30,EUCOM J2/J3,"Experiment design; integration","Service ISR components",Development,4,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Regional tailoring line; good ABM hook for geographic context."
COCOM_PACOM_001,INDOPACOM_101,Maritime ISR Campaign RDT&E,DoD,INDOPACOM,J2/J3,BA4,Maritime_Warfare,ISR,Title10,110000,120000,130000,FY24-FY26,34,INDOPACOM,"Campaign design","Fleet units; intel centers",Development,5,3,5,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Supports Indo-Pacific experimentation."
COCOM_CENTCOM_001,CENTCOM_101,Desert ISR Concept Development,DoD,CENTCOM,J2,BA3,ISR,MultiINT,Title10,65000,68000,70000,FY24-FY26,24,CENTCOM,"Concept design","IC/Service partners",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Environment-specific RDT&E."
COCOM_NORTHCOM_001,NORTHCOM_101,Homeland Defense Sensor Fusion,DoD,NORTHCOM,J2,BA4,ISR,MultiINT,Title10;Title50,90000,95000,100000,FY24-FY26,28,NORTHCOM,"Architecture design","NORAD; IC partners",Development,5,3,5,5,4,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Joint homeland defense node."
COCOM_SOUTHCOM_001,SOUTHCOM_101,Illicit Trafficking ISR Experiments,DoD,SOUTHCOM,J2,BA3,ISR,MultiINT,Title10,60000,63000,65000,FY24-FY26,22,SOUTHCOM,"Campaign design","Partner nations",Prototype,3,3,4,4,3,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Selected to represent irregular mission space."
IC_FBI_001,FBI_401,Domestic Threat Intelligence Tools,IC,FBI,National Security Branch,BA3,Analysis_Tools,MultiINT,Title50,65000,70000,74000,FY24-FY26,26,FBI NSB,"Tool design","Integrators",Prototype,4,3,4,3,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Not strictly DoD, but interacts with joint threat picture."
IC_TREAS_001,TREAS_501,Illicit Finance Network Analytics,IC,Treasury,FinCEN,BA3,Analysis_Tools,MultiINT,Title50,55000,60000,65000,FY24-FY26,22,FinCEN,"Model dev","Cloud/HPC",Prototype,4,3,4,3,2,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Financial intel line with national security tie."
IC_CGINT_001,CGI_201,Maritime Domain Awareness RDT&E,DHS,Coast Guard Intelligence,CGI,BA3,Maritime_Warfare,ISR,Title10;Title50,65000,68000,72000,FY24-FY26,24,CGI,"Sensor integration","Industry partners",Prototype,4,3,4,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Bridges homeland and defense maritime missions."
IC_ODNI_001,ODNI_601,IC-Wide Data Standards R&D,IC,ODNI,IC CIO,BA6,C2_JADC2,NA,NIP,45000,48000,50000,FY24-FY26,18,ODNI,"Data standards","FFRDC support",Ongoing,4,2,5,4,2,Medium,3,ESTIMATE_ONLY_R1_PENDING,"Backbone for data-level interoperability."
IC_ODNI_002,ODNI_602,IC Cloud Reference Architecture,IC,ODNI,IC CIO,BA5,C2_JADC2,NA,NIP,95000,100000,105000,FY24-FY26,24,ODNI,"Cloud arch design","Cloud vendors",Development,5,3,6,4,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Enables multi-agency transitions at infra layer."
