authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Autonomy_UxS,,,POM,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,,0,2
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.0,1.0,1.0,0.225,0.23364,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,0,2
Title10;Title50,,Sensors,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,1.0,1.0,0.225,0.23364,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,,0,2
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.95,1.0,0.15,0.147972,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,0,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,0,2
Title10,,Foundational_Science,0.0,0.75,UFR,attempt,,,1.0,,,1.0,0.95,1.0,0.15,0.147972,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,,0,2
Title10,Commercial,Foundational_Science,,,UFR,contracting,0.0,,1.0,,1.0,1.0,0.9,,0.45,0.405,,,0,1.0,,,NA,NonKinetic,0,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,0,2
Title10,Commercial,C2_JADC2,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,0.9,,0.45,0.405,,,0,1.0,,,ISR,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,NRL,0603766E,1,DARPA,Service HQ,,1,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,1,3
Title10,,Test_Ranges,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,GovContractor,start,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,,1,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.9,1.0,0.15,0.140184,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,1,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,0.9,1.0,0.15,0.140184,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,GovContractor,start,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,,1,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,1,4
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.02,0.6859,1.0,0.225,0.163459,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,1,2
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.5415,1.0,0.15,0.086031,1.0,1.18,1,1.0,0.88,,CBRNE,Kinetic,1,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,1,2
Title10,,Foundational_Science,0.0,1.0,UFR,funding,,,1.0,,,1.02,0.63175,1.0,0.175,0.117098,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,1,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,1,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.02,0.63175,1.0,0.175,0.117098,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,,1,3
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.49875,1.0,0.25,0.129475,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable,,,,Commercial,fail,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,feasibility,1,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.442225,1.0,0.25,0.117098,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,2,3
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.568575,1.0,0.15,0.090332,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,2,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.508725,1.0,0.25,0.134706,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,1,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,2,4
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.04,0.5103,1.0,0.225,0.123996,1.0,1.18,2,1.0,0.88,,ISR,NonKinetic,2,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,2,2
MFP11,,C2_JADC2,0.0,1.0,Partner_CoDev,attempt,,,1.0,,,1.04,0.5103,1.0,0.225,0.123996,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovContractor,start,Leidos,DARPA,SOCOM_BA5_001,21,SOCOM,Agency,,2,3
MFP11,,C2_JADC2,,,Partner_CoDev,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.315,0.5,0.1,unfavorable,,1.0,0.135,GovContractor,unfavorable,Leidos,DARPA,SOCOM_BA5_001,21,SOCOM,Agency,vulnerability_test,2,3
Title10;Title50,,Biotechnology,,,UFR,attempt,,,,,,,,,,,,,,,,,CBRNE,NonKinetic,,0.315,0.5,0.1,not_conducted,,1.0,0.135,GovContractor,start,SAIC,NRL,CBDP_BA3_001,24,CBDP,Service HQ,,2,4
Title10;Title50,,Biotechnology,0.0,1.0,UFR,funding,,,1.0,,,1.0,0.76,1.0,0.175,0.138107,1.0,1.18,0,1.0,0.88,,CBRNE,NonKinetic,0,,,,favorable,,,,GovContractor,fail,SAIC,NRL,CBDP_BA3_001,24,CBDP,Service HQ,prototype_demo,2,4
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.15,0.064796,1.0,1.18,2,1.0,0.88,,CBRNE,Kinetic,2,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,2,2
Title10,,Medical,0.0,0.75,POM,attempt,,,1.0,,,1.04,0.4,1.0,0.15,0.064796,1.0,1.18,2,1.0,0.88,,Medical,NonKinetic,,,,,not_conducted,,,,GovContractor,start,LM,DARPA,DHA_BA4_001,27,DHA,POC-User,,2,2
Title10,,Medical,0.0,0.75,POM,funding,,,1.0,,,1.0,0.6375,1.0,0.135,0.089367,1.0,1.18,0,1.0,0.88,,Medical,NonKinetic,0,,,,favorable,,,,GovContractor,fail,LM,DARPA,DHA_BA4_001,27,DHA,POC-User,functional_test,2,2
Title10,,Foundational_Science,0.0,1.0,UFR,funding,,,1.0,,,1.04,0.5103,1.0,0.175,0.096441,1.0,1.18,2,1.0,0.88,,NA,NonKinetic,2,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,2,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.4,1.0,0.25,0.105917,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,1,,,,favorable,,,,Commercial,fail,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,feasibility,2,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.25,0.107994,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,3,3
Title10,GovContractor,Test_Ranges,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.04,0.567,,0.55,0.324324,,,2,1.0,,,NA,Kinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,3,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.25,0.107994,1.0,1.18,2,1.0,0.88,,NA,NonKinetic,2,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,3,4
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.06,0.4046,1.0,0.225,0.100203,1.0,1.18,3,1.0,0.88,,ISR,NonKinetic,3,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,3,2
Title10;Title50,,Biotechnology,0.0,1.0,UFR,funding,,,1.0,,,1.02,0.536987,1.0,0.175,0.099533,1.0,1.18,1,1.0,0.88,,CBRNE,NonKinetic,1,,,,favorable,,,,GovContractor,fail,SAIC,NRL,CBDP_BA3_001,24,CBDP,Service HQ,prototype_demo,3,4
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.15,0.066042,1.0,1.18,3,1.0,0.88,,CBRNE,Kinetic,3,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,3,2
Title10,,Medical,0.0,0.75,POM,funding,,,1.0,,,1.02,0.473812,1.0,0.135,0.067749,1.0,1.18,1,1.0,0.88,,Medical,NonKinetic,1,,,,favorable,,,,GovContractor,fail,LM,DARPA,DHA_BA4_001,27,DHA,POC-User,functional_test,3,2
Title10,,Foundational_Science,0.0,1.0,UFR,funding,,,1.0,,,1.06,0.4046,1.0,0.175,0.077935,1.0,1.18,3,1.0,0.88,,NA,NonKinetic,3,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,3,2
Title10,,Air_Dominance,0.0,1.0,Partner,attempt,,,1.0,,,1.06,0.4046,1.0,0.175,0.077935,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,Commercial,start,Leidos,PEO C4I,NAVY_BA4_002,36,Navy,Service HQ,,3,3
Title10,,Air_Dominance,,,Partner,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.380625,0.40625,0.2875,unfavorable,,1.0,0.163125,Commercial,unfavorable,Leidos,PEO C4I,NAVY_BA4_002,36,Navy,Service HQ,functional_test,3,3
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.4,1.0,0.25,0.107994,1.0,1.18,2,1.0,0.88,,NA,NonKinetic,2,,,,favorable,,,,Commercial,fail,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,feasibility,3,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.25,0.11007,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,4,3
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.15,0.066042,1.0,1.18,3,1.0,0.88,,NA,Kinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,4,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.25,0.11007,1.0,1.18,3,1.0,0.88,,NA,NonKinetic,3,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,4,4
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.08,0.4,1.0,0.225,0.100932,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,4,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,4,2
Title10;Title50,,Biotechnology,0.0,1.0,UFR,funding,,,1.0,,,1.04,0.42525,1.0,0.175,0.080367,1.0,1.18,2,1.0,0.88,,CBRNE,NonKinetic,2,,,,favorable,,,,GovContractor,fail,SAIC,NRL,CBDP_BA3_001,24,CBDP,Service HQ,prototype_demo,4,4
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.15,0.067288,1.0,1.18,4,1.0,0.88,,CBRNE,Kinetic,4,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,4,2
Title10,GovContractor,Medical,,,POM,contracting,0.0,,1.0,,1.0,1.04,0.567,,0.55,0.324324,,,2,1.0,,,Medical,NonKinetic,2,,,,favorable,,,,GovContractor,fail,LM,DARPA,DHA_BA4_001,27,DHA,POC-User,functional_test,4,2
MIP,GovContractor,ISR,,,POM,attempt,0.0,,1.0,,1.0,1.04,0.567,,0.55,0.324324,,,2,1.0,,,MultiINT,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,DEVCOM,MIP_SENS_001,29,Defense Intel,Service HQ,,4,3
MIP,,ISR,0.0,1.0,POM,funding,,,1.0,,,1.0,0.7,1.0,0.225,0.14868,1.0,1.18,0,1.0,0.8,,MultiINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,DEVCOM,MIP_SENS_001,29,Defense Intel,Service HQ,prototype_demo,4,3
Title10,,Foundational_Science,0.0,1.0,UFR,funding,,,1.0,,,1.08,0.4,1.0,0.175,0.078503,1.0,1.18,4,1.0,0.88,,NA,NonKinetic,4,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,4,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.25,0.11007,1.0,1.18,3,1.0,0.88,,NA,NonKinetic,3,,,,favorable,,,,Commercial,fail,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,feasibility,4,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.25,0.112147,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,5,3
Title10,,Strike,0.0,1.0,POM,attempt,,,1.0,,,1.08,0.4,1.0,0.25,0.112147,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,None,NAVWAR,0603892C,4,MDA,POC-User,,5,4
Title10,,Strike,0.0,0.75,POM,funding,,,1.0,,,1.0,0.49,1.0,0.135,0.06869,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,None,NAVWAR,0603892C,4,MDA,POC-User,functional_test,5,4
Title10,,Test_Ranges,,,ProgramBase,test,0.0,1.0,1.0,0.8,,1.08,0.576,1.0,0.42,0.209019,1.0,,4,1.0,,1.0,NA,Kinetic,4,,,,favorable_with_caveats,favorable_with_caveats,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,5,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.08,0.4,1.0,0.25,0.112147,1.0,1.18,4,1.0,0.88,,NA,NonKinetic,4,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,5,4
